2016.08.02,23:00,1.12217,1.12252,1.12196,1.12211,2283
2016.08.03,00:00,1.12209,1.12269,1.12190,1.12205,1012
2016.08.03,01:00,1.12214,1.12223,1.12177,1.12192,3102
2016.08.03,02:00,1.12191,1.12211,1.12170,1.12173,2158
2016.08.03,03:00,1.12155,1.12187,1.12137,1.12140,3559
2016.08.03,04:00,1.12141,1.12153,1.12106,1.12124,3386
2016.08.03,05:00,1.12124,1.12162,1.12075,1.12085,3062
2016.08.03,06:00,1.12082,1.12147,1.12069,1.12121,2937
2016.08.03,07:00,1.12121,1.12166,1.12107,1.12130,3887
2016.08.03,08:00,1.12128,1.12143,1.12075,1.12089,2937
2016.08.03,09:00,1.12088,1.12120,1.12006,1.12010,4813
2016.08.03,10:00,1.12010,1.12147,1.12000,1.12115,6851
2016.08.03,11:00,1.12115,1.12130,1.11966,1.11994,6115
2016.08.03,12:00,1.11995,1.12006,1.11896,1.11909,5456
2016.08.03,13:00,1.11910,1.12042,1.11896,1.11981,4808
2016.08.03,14:00,1.11982,1.12023,1.11962,1.12016,4786
2016.08.03,15:00,1.12016,1.12043,1.11898,1.11928,7490
2016.08.03,16:00,1.11928,1.11959,1.11755,1.11808,7956
2016.08.03,17:00,1.11816,1.11849,1.11616,1.11717,10047
2016.08.03,18:00,1.11719,1.11791,1.11693,1.11695,5080
2016.08.03,19:00,1.11695,1.11760,1.11658,1.11730,3932
2016.08.03,20:00,1.11731,1.11760,1.11424,1.11432,4797
2016.08.03,21:00,1.11433,1.11463,1.11401,1.11448,3663
2016.08.03,22:00,1.11448,1.11501,1.11448,1.11475,2747
2016.08.03,23:00,1.11475,1.11510,1.11462,1.11483,2022
2016.08.04,00:00,1.11479,1.11510,1.11468,1.11477,841
2016.08.04,01:00,1.11477,1.11502,1.11463,1.11487,2275
2016.08.04,02:00,1.11487,1.11511,1.11470,1.11497,2179
2016.08.04,03:00,1.11497,1.11525,1.11427,1.11439,3694
2016.08.04,04:00,1.11439,1.11558,1.11350,1.11510,4315
2016.08.04,05:00,1.11511,1.11530,1.11422,1.11484,3016
2016.08.04,06:00,1.11483,1.11488,1.11438,1.11439,2534
